pn_id,vol_raw_usd,vol_norm,lot_count,breadth_norm,line_count,avg_line_usd,ticket_norm,cat_liq_norm,pn_liquidity,flags
370358000FRE,32.190000,0.000000,1,0.100000,1,32.190000,0.000000,0.300000,0.090000,CAT_UNKNOWN_HEAVY
3A34736H01,0.000000,0.000000,3,0.300000,3,0.000000,0.000000,0.000000,0.090000,
3A34969H01,0.010000,0.000000,1,0.100000,1,0.010000,0.000000,0.300000,0.090000,CAT_UNKNOWN_HEAVY
3A34970H01,11.662438,0.000000,1,0.100000,1,11.662438,0.000000,0.300000,0.090000,CAT_UNKNOWN_HEAVY
4580081L,2.320000,0.000000,1,0.100000,1,2.320000,0.000000,0.300000,0.090000,CAT_UNKNOWN_HEAVY
4600944R,45.310000,0.000000,1,0.100000,1,45.310000,0.000000,0.300000,0.090000,CAT_UNKNOWN_HEAVY
4601195R,50.000000,0.000000,1,0.100000,1,50.000000,0.000000,0.300000,0.090000,CAT_UNKNOWN_HEAVY
50120681001RU,0.010000,0.000000,1,0.100000,1,0.010000,0.000000,0.300000,0.090000,CAT_UNKNOWN_HEAVY
50122882001FRE,23.570000,0.000000,1,0.100000,1,23.570000,0.000000,0.300000,0.090000,CAT_UNKNOWN_HEAVY
50125497001FRE,41.030000,0.000000,1,0.100000,1,41.030000,0.000000,0.300000,0.090000,CAT_UNKNOWN_HEAVY
50125909001FRE,35.320000,0.000000,1,0.100000,1,35.320000,0.000000,0.300000,0.090000,CAT_UNKNOWN_HEAVY
50126075002D,8.880000,0.000000,1,0.100000,1,8.880000,0.000000,0.300000,0.090000,CAT_UNKNOWN_HEAVY
50126651001FRE,9.430000,0.000000,1,0.100000,1,9.430000,0.000000,0.300000,0.090000,CAT_UNKNOWN_HEAVY
50128055001FRE,15.840000,0.000000,1,0.100000,1,15.840000,0.000000,0.300000,0.090000,CAT_UNKNOWN_HEAVY
50128684001FRE,32.210000,0.000000,1,0.100000,1,32.210000,0.000000,0.300000,0.090000,CAT_UNKNOWN_HEAVY
50130720001FRE,31.430000,0.000000,1,0.100000,1,31.430000,0.000000,0.300000,0.090000,CAT_UNKNOWN_HEAVY
50134001001FRE,26.700000,0.000000,1,0.100000,1,26.700000,0.000000,0.300000,0.090000,CAT_UNKNOWN_HEAVY
50134472001FRE,20.240000,0.000000,1,0.100000,1,20.240000,0.000000,0.300000,0.090000,CAT_UNKNOWN_HEAVY
